Date,ProductID,WarehouseID,OnHand,Reserved,Available,MinimumStock,TargetStock,ReorderQuantity,IssuesLast30Days,UnitCost,StockStatus
2017-12-31,P001,6,37,2,35,78,246,211,178,2867.51,Bajo minimo
2017-12-31,P001,8,73,6,67,21,105,0,107,2867.51,Normal
2017-12-31,P001,9,102,9,93,36,120,0,94,2867.51,Normal
2017-12-31,P002,3,0,0,0,50,190,190,0,2326.27,Sin stock
2017-12-31,P002,7,44,3,41,52,164,123,131,2326.27,Bajo minimo
2017-12-31,P002,8,23,5,18,14,70,0,54,2326.27,Normal
2017-12-31,P003,2,17,2,15,8,36,0,29,2035.18,Normal
2017-12-31,P003,5,61,3,58,52,164,0,113,2035.18,Normal
2017-12-31,P003,6,155,16,139,72,240,0,168,2035.18,Normal
2017-12-31,P004,3,0,0,0,5,33,33,33,2144.4,Sin stock
2017-12-31,P004,4,0,0,0,36,204,204,0,2144.4,Sin stock
2017-12-31,P004,6,93,2,91,27,111,0,116,2144.4,Normal
2017-12-31,P005,3,0,0,0,5,33,33,0,2012.11,Sin stock
2017-12-31,P005,7,79,14,65,70,210,145,141,2012.11,Bajo minimo
2017-12-31,P005,8,106,17,89,60,228,0,237,2012.11,Normal
2017-12-31,P006,2,140,16,124,24,192,0,165,1925.13,Normal
2017-12-31,P006,6,106,2,104,36,204,0,0,1925.13,Normal
2017-12-31,P006,8,28,1,27,16,128,0,112,1925.13,Normal
2017-12-31,P007,3,26,1,25,8,36,0,33,2101.59,Normal
2017-12-31,P007,8,29,0,29,12,124,0,125,2101.59,Normal
2017-12-31,P007,9,35,8,27,48,160,133,136,2101.59,Bajo minimo
2017-12-31,P008,1,0,0,0,60,228,228,0,1780.35,Sin stock
2017-12-31,P008,4,154,12,142,56,168,0,0,1780.35,Normal
2017-12-31,P008,7,50,1,49,52,164,115,120,1780.35,Bajo minimo
2017-12-31,P009,1,32,1,31,18,74,0,62,1793.53,Normal
2017-12-31,P009,3,68,7,61,42,126,0,85,1793.53,Normal
2017-12-31,P009,8,173,6,167,60,200,0,143,1793.53,Normal
2017-12-31,P010,4,160,3,157,55,195,0,162,1940.18,Normal
2017-12-31,P010,6,22,12,10,20,132,122,148,1940.18,Bajo minimo
2017-12-31,P010,9,41,6,35,22,78,0,71,1940.18,Normal
2017-12-31,P011,5,37,4,33,20,76,0,61,1888.33,Normal
2017-12-31,P011,8,19,3,16,12,40,0,31,1888.33,Normal
2017-12-31,P011,9,70,2,68,28,84,0,62,1888.33,Normal
2017-12-31,P012,1,36,0,36,20,76,0,55,1781.47,Normal
2017-12-31,P012,4,15,2,13,20,76,63,66,1781.47,Bajo minimo
2017-12-31,P012,5,194,14,180,66,234,0,188,1781.47,Normal
2017-12-31,P013,1,117,12,105,56,168,0,127,1723.83,Normal
2017-12-31,P013,6,130,5,125,48,160,0,120,1723.83,Normal
2017-12-31,P013,7,0,0,0,24,108,108,0,1723.83,Sin stock
2017-12-31,P014,1,89,5,84,56,168,0,0,1504.08,Normal
2017-12-31,P014,5,76,11,65,24,192,0,166,1504.08,Normal
2017-12-31,P014,6,28,2,26,6,34,0,32,1504.08,Normal
2017-12-31,P015,2,34,0,34,6,62,0,64,1499.26,Normal
2017-12-31,P015,5,8,3,5,20,76,71,54,1499.26,Bajo minimo
2017-12-31,P015,6,106,13,93,35,175,0,129,1499.26,Normal
2017-12-31,P016,1,17,2,15,4,32,0,0,1540.35,Normal
2017-12-31,P016,4,21,3,18,26,82,64,67,1540.35,Bajo minimo
2017-12-31,P016,5,32,3,29,20,76,0,49,1540.35,Normal
2017-12-31,P017,1,0,0,0,44,156,156,0,1671.95,Sin stock
2017-12-31,P017,2,0,0,0,16,128,128,0,1671.95,Sin stock
2017-12-31,P017,3,25,0,25,10,38,0,32,1671.95,Normal
2017-12-31,P018,2,50,7,43,36,120,0,78,1706.95,Normal
2017-12-31,P018,4,48,1,47,24,80,0,52,1706.95,Normal
2017-12-31,P018,6,117,10,107,15,155,0,0,1706.95,Normal
2017-12-31,P019,3,134,3,131,52,164,0,130,1323.12,Normal
2017-12-31,P019,5,0,0,0,30,170,170,125,1323.12,Sin stock
2017-12-31,P019,9,0,0,0,60,228,228,0,1323.12,Sin stock
2017-12-31,P020,3,38,3,35,14,70,0,74,1369.83,Normal
2017-12-31,P020,5,33,9,24,42,126,102,101,1369.83,Bajo minimo
2017-12-31,P020,8,100,0,100,36,204,0,220,1369.83,Normal
2017-12-31,P021,1,0,0,0,15,155,155,133,1496.43,Sin stock
2017-12-31,P021,4,65,1,64,28,84,0,74,1496.43,Normal
2017-12-31,P021,5,56,4,52,20,76,0,54,1496.43,Normal
2017-12-31,P022,3,0,0,0,33,117,117,0,1535.62,Sin stock
2017-12-31,P022,4,3,3,0,5,33,33,30,1535.62,Sin stock
2017-12-31,P022,9,11,0,11,39,123,112,95,1535.62,Bajo minimo
2017-12-31,P023,3,5,3,2,8,64,62,51,1519.85,Bajo minimo
2017-12-31,P023,7,124,15,109,54,222,0,213,1519.85,Normal
2017-12-31,P023,8,0,0,0,8,36,36,0,1519.85,Sin stock
2017-12-31,P024,4,39,1,38,6,62,0,52,1225.59,Normal
2017-12-31,P024,5,17,12,5,16,128,123,93,1225.59,Bajo minimo
2017-12-31,P024,9,64,7,57,33,117,0,80,1225.59,Normal
2017-12-31,P025,1,31,1,30,14,70,0,45,1479.56,Normal
2017-12-31,P025,3,155,11,144,50,190,0,141,1479.56,Normal
2017-12-31,P025,9,101,0,101,84,252,0,195,1479.56,Normal
2017-12-31,P026,1,165,5,160,45,185,0,126,1453.94,Normal
2017-12-31,P026,7,0,0,0,35,175,175,0,1453.94,Sin stock
2017-12-31,P026,8,0,0,0,8,64,64,0,1453.94,Sin stock
2017-12-31,P027,1,100,0,100,33,117,0,90,1479.95,Normal
2017-12-31,P027,3,80,7,73,18,102,0,99,1479.95,Normal
2017-12-31,P027,9,114,10,104,55,195,0,127,1479.95,Normal
2017-12-31,P028,1,17,0,17,24,136,119,128,1365.13,Bajo minimo
2017-12-31,P028,4,21,0,21,6,34,0,29,1365.13,Normal
2017-12-31,P028,6,26,2,24,36,148,124,132,1365.13,Bajo minimo
2017-12-31,P029,5,174,14,160,84,252,0,142,1166.89,Normal
2017-12-31,P029,7,44,9,35,12,96,0,79,1166.89,Normal
2017-12-31,P029,8,14,3,11,16,72,61,76,1166.89,Bajo minimo
2017-12-31,P030,1,0,0,0,60,200,200,0,1052.92,Sin stock
2017-12-31,P030,6,52,2,50,16,72,0,48,1052.92,Normal
2017-12-31,P030,7,168,9,159,50,190,0,153,1052.92,Normal
2017-12-31,P031,1,0,0,0,5,33,33,0,1266.37,Sin stock
2017-12-31,P031,2,0,0,0,24,136,136,0,1266.37,Sin stock
2017-12-31,P031,5,40,6,34,30,170,0,131,1266.37,Normal
2017-12-31,P032,1,95,11,84,65,205,0,152,1194.03,Normal
2017-12-31,P032,4,31,8,23,50,190,167,174,1194.03,Bajo minimo
2017-12-31,P032,9,0,0,0,40,152,152,0,1194.03,Sin stock
2017-12-31,P033,6,168,7,161,36,204,0,187,1041.99,Normal
2017-12-31,P033,7,126,2,124,20,160,0,0,1041.99,Normal
2017-12-31,P033,9,70,7,63,12,124,0,101,1041.99,Normal
2017-12-31,P034,4,48,0,48,56,168,120,125,902.18,Bajo minimo
2017-12-31,P034,5,23,2,21,72,240,219,194,902.18,Bajo minimo
2017-12-31,P034,6,0,0,0,9,93,93,0,902.18,Sin stock
2017-12-31,P035,5,55,2,53,24,108,0,76,961.11,Normal
2017-12-31,P035,6,91,9,82,56,168,0,139,961.11,Normal
2017-12-31,P035,8,62,3,59,42,126,0,87,961.11,Normal
2017-12-31,P036,3,0,0,0,28,140,140,0,906.63,Sin stock
2017-12-31,P036,6,125,14,111,30,198,0,193,906.63,Normal
2017-12-31,P036,7,127,3,124,30,170,0,140,906.63,Normal
2017-12-31,P037,1,3,0,3,21,105,102,86,1072.79,Bajo minimo
2017-12-31,P037,4,0,0,0,50,190,190,0,1072.79,Sin stock
2017-12-31,P037,6,15,0,15,7,35,0,27,1072.79,Normal
2017-12-31,P038,4,0,0,0,8,64,64,0,945.11,Sin stock
2017-12-31,P038,6,7,3,4,10,38,34,28,945.11,Bajo minimo
2017-12-31,P038,9,24,4,20,33,117,97,80,945.11,Bajo minimo
2017-12-31,P039,2,0,0,0,78,246,246,0,869.03,Sin stock
2017-12-31,P039,5,87,2,85,18,102,0,89,869.03,Normal
2017-12-31,P039,6,0,0,0,8,64,64,66,869.03,Sin stock
2017-12-31,P040,1,47,1,46,18,102,0,87,855.82,Normal
2017-12-31,P040,2,67,3,64,24,80,0,60,855.82,Normal
2017-12-31,P040,9,81,10,71,28,140,0,143,855.82,Normal
2017-12-31,P041,1,20,2,18,9,37,0,39,914.52,Normal
2017-12-31,P041,2,31,2,29,6,62,0,61,914.52,Normal
2017-12-31,P041,3,82,5,77,20,132,0,114,914.52,Normal
2017-12-31,P042,1,134,8,126,44,156,0,99,779.17,Normal
2017-12-31,P042,4,219,1,218,66,234,0,0,779.17,Normal
2017-12-31,P042,8,50,5,45,44,156,0,0,779.17,Normal
2017-12-31,P043,5,66,0,66,30,114,0,87,865.59,Normal
2017-12-31,P043,6,0,0,0,48,160,160,0,865.59,Sin stock
