MovementID,Date,ProductID,WarehouseID,MovementType,Quantity,UnitCost,IsSimulated
1,2017-01-01,P001,6,Opening,738,2867.51,Yes
2,2017-01-01,P001,6,Issue,-1,2867.51,Yes
3,2017-01-02,P001,6,Issue,-12,2867.51,Yes
4,2017-01-03,P001,6,Issue,-2,2867.51,Yes
5,2017-01-04,P001,6,Issue,-10,2867.51,Yes
6,2017-01-05,P001,6,Issue,-8,2867.51,Yes
7,2017-01-06,P001,6,Issue,-7,2867.51,Yes
8,2017-01-07,P001,6,Issue,-1,2867.51,Yes
9,2017-01-09,P001,6,Issue,-10,2867.51,Yes
10,2017-01-10,P001,6,Issue,-1,2867.51,Yes
11,2017-01-11,P001,6,Issue,-6,2867.51,Yes
12,2017-01-12,P001,6,Issue,-11,2867.51,Yes
13,2017-01-13,P001,6,Issue,-1,2867.51,Yes
14,2017-01-14,P001,6,Issue,-10,2867.51,Yes
15,2017-01-15,P001,6,Issue,-2,2867.51,Yes
16,2017-01-16,P001,6,Issue,-8,2867.51,Yes
17,2017-01-17,P001,6,Issue,-1,2867.51,Yes
18,2017-01-18,P001,6,Issue,-4,2867.51,Yes
19,2017-01-19,P001,6,Issue,-4,2867.51,Yes
20,2017-01-20,P001,6,Issue,-9,2867.51,Yes
21,2017-01-22,P001,6,Issue,-6,2867.51,Yes
22,2017-01-23,P001,6,Issue,-5,2867.51,Yes
23,2017-01-24,P001,6,Issue,-6,2867.51,Yes
24,2017-01-25,P001,6,Issue,-4,2867.51,Yes
25,2017-01-26,P001,6,Issue,-4,2867.51,Yes
26,2017-01-27,P001,6,Issue,-10,2867.51,Yes
27,2017-01-28,P001,6,Issue,-12,2867.51,Yes
28,2017-01-29,P001,6,Issue,-2,2867.51,Yes
29,2017-01-30,P001,6,Issue,-3,2867.51,Yes
30,2017-01-31,P001,6,Issue,-10,2867.51,Yes
31,2017-02-01,P001,6,Issue,-12,2867.51,Yes
32,2017-02-02,P001,6,Issue,-8,2867.51,Yes
33,2017-02-03,P001,6,Issue,-6,2867.51,Yes
34,2017-02-04,P001,6,Issue,-7,2867.51,Yes
35,2017-02-05,P001,6,Issue,-4,2867.51,Yes
36,2017-02-06,P001,6,Issue,-10,2867.51,Yes
37,2017-02-07,P001,6,Issue,-8,2867.51,Yes
38,2017-02-08,P001,6,Issue,-4,2867.51,Yes
39,2017-02-09,P001,6,Issue,-8,2867.51,Yes
40,2017-02-10,P001,6,Issue,-2,2867.51,Yes
41,2017-02-12,P001,6,Issue,-4,2867.51,Yes
42,2017-02-13,P001,6,Issue,-8,2867.51,Yes
43,2017-02-14,P001,6,Issue,-12,2867.51,Yes
44,2017-02-15,P001,6,Issue,-8,2867.51,Yes
45,2017-02-16,P001,6,Issue,-7,2867.51,Yes
46,2017-02-17,P001,6,Issue,-12,2867.51,Yes
47,2017-02-18,P001,6,Issue,-8,2867.51,Yes
48,2017-02-19,P001,6,Issue,-1,2867.51,Yes
49,2017-02-20,P001,6,Issue,-7,2867.51,Yes
50,2017-02-21,P001,6,Issue,-8,2867.51,Yes
51,2017-02-22,P001,6,Issue,-10,2867.51,Yes
52,2017-02-23,P001,6,Issue,-11,2867.51,Yes
53,2017-02-24,P001,6,Issue,-11,2867.51,Yes
54,2017-02-25,P001,6,Issue,-9,2867.51,Yes
55,2017-02-26,P001,6,Issue,-8,2867.51,Yes
56,2017-02-27,P001,6,Issue,-4,2867.51,Yes
57,2017-02-28,P001,6,Issue,-2,2867.51,Yes
58,2017-03-01,P001,6,Issue,-12,2867.51,Yes
59,2017-03-02,P001,6,Issue,-11,2867.51,Yes
60,2017-03-03,P001,6,Issue,-4,2867.51,Yes
61,2017-03-05,P001,6,Issue,-5,2867.51,Yes
62,2017-03-06,P001,6,Issue,-10,2867.51,Yes
63,2017-03-07,P001,6,Issue,-4,2867.51,Yes
64,2017-03-08,P001,6,Issue,-8,2867.51,Yes
65,2017-03-09,P001,6,Issue,-8,2867.51,Yes
66,2017-03-10,P001,6,Issue,-1,2867.51,Yes
67,2017-03-11,P001,6,Issue,-8,2867.51,Yes
68,2017-03-12,P001,6,Issue,-6,2867.51,Yes
69,2017-03-13,P001,6,Issue,-2,2867.51,Yes
70,2017-03-14,P001,6,Issue,-6,2867.51,Yes
71,2017-03-15,P001,6,Issue,-7,2867.51,Yes
72,2017-03-16,P001,6,Issue,-2,2867.51,Yes
73,2017-03-17,P001,6,Issue,-9,2867.51,Yes
74,2017-03-18,P001,6,Issue,-11,2867.51,Yes
75,2017-03-19,P001,6,Issue,-8,2867.51,Yes
76,2017-03-20,P001,6,Issue,-3,2867.51,Yes
77,2017-03-21,P001,6,Issue,-8,2867.51,Yes
78,2017-03-22,P001,6,Issue,-10,2867.51,Yes
79,2017-03-23,P001,6,Issue,-4,2867.51,Yes
80,2017-03-24,P001,6,Issue,-7,2867.51,Yes
81,2017-03-25,P001,6,Issue,-4,2867.51,Yes
82,2017-03-26,P001,6,Issue,-10,2867.51,Yes
83,2017-03-28,P001,6,Issue,-10,2867.51,Yes
84,2017-03-29,P001,6,Issue,-10,2867.51,Yes
85,2017-03-30,P001,6,Issue,-12,2867.51,Yes
86,2017-03-31,P001,6,Issue,-4,2867.51,Yes
87,2017-04-01,P001,6,Issue,-7,2867.51,Yes
88,2017-04-02,P001,6,Issue,-3,2867.51,Yes
89,2017-04-03,P001,6,Issue,-1,2867.51,Yes
90,2017-04-04,P001,6,Issue,-12,2867.51,Yes
91,2017-04-06,P001,6,Issue,-10,2867.51,Yes
92,2017-04-07,P001,6,Issue,-8,2867.51,Yes
93,2017-04-08,P001,6,Issue,-2,2867.51,Yes
94,2017-04-09,P001,6,Issue,-7,2867.51,Yes
95,2017-04-10,P001,6,Issue,-2,2867.51,Yes
96,2017-04-11,P001,6,Issue,-2,2867.51,Yes
97,2017-04-12,P001,6,Issue,-2,2867.51,Yes
98,2017-04-13,P001,6,Issue,-11,2867.51,Yes
99,2017-04-14,P001,6,Issue,-4,2867.51,Yes
100,2017-04-15,P001,6,Issue,-2,2867.51,Yes
101,2017-04-16,P001,6,Issue,-6,2867.51,Yes
102,2017-04-17,P001,6,Issue,-3,2867.51,Yes
103,2017-04-18,P001,6,Issue,-11,2867.51,Yes
104,2017-04-19,P001,6,Issue,-6,2867.51,Yes
105,2017-04-20,P001,6,Issue,-9,2867.51,Yes
