ProductID,WarehouseID,LeadTimeDays,MinimumStock,TargetStock,Scenario
P001,6,13,78,246,Exceso
P001,8,7,21,105,Normal
P001,9,12,36,120,Normal
P002,3,10,50,190,Demora
P002,7,13,52,164,Normal
P002,8,7,14,70,Normal
P003,2,8,8,36,Normal
P003,5,13,52,164,Normal
P003,6,12,72,240,Exceso
P004,3,5,5,33,Normal
P004,4,6,36,204,Demora
P004,6,9,27,111,Normal
P005,3,5,5,33,Demora
P005,7,14,70,210,Normal
P005,8,10,60,228,Normal
P006,2,4,24,192,Exceso
P006,6,6,36,204,Sin demanda
P006,8,4,16,128,Normal
P007,3,8,8,36,Normal
P007,8,3,12,124,Normal
P007,9,12,48,160,Normal
P008,1,10,60,228,Demora
P008,4,14,56,168,Sin demanda
P008,7,13,52,164,Normal
P009,1,9,18,74,Normal
P009,3,14,42,126,Normal
P009,8,12,60,200,Exceso
P010,4,11,55,195,Normal
P010,6,5,20,132,Normal
P010,9,11,22,78,Normal
P011,5,10,20,76,Normal
P011,8,12,12,40,Normal
P011,9,14,28,84,Normal
P012,1,10,20,76,Exceso
P012,4,10,20,76,Normal
P012,5,11,66,234,Normal
P013,1,14,56,168,Normal
P013,6,12,48,160,Exceso
P013,7,8,24,108,Demora
P014,1,14,56,168,Sin demanda
P014,5,4,24,192,Normal
P014,6,6,6,34,Normal
P015,2,3,6,62,Normal
P015,5,10,20,76,Normal
P015,6,7,35,175,Exceso
P016,1,4,4,32,Sin demanda
P016,4,13,26,82,Normal
P016,5,10,20,76,Normal
P017,1,11,44,156,Demora
P017,2,4,16,128,Demora
P017,3,10,10,38,Normal
P018,2,12,36,120,Normal
P018,4,12,24,80,Normal
P018,6,3,15,155,Sin demanda
P019,3,13,52,164,Normal
P019,5,6,30,170,Normal
P019,9,10,60,228,Demora
P020,3,7,14,70,Normal
P020,5,14,42,126,Normal
P020,8,6,36,204,Normal
P021,1,3,15,155,Normal
P021,4,14,28,84,Normal
P021,5,10,20,76,Normal
P022,3,11,33,117,Demora
P022,4,5,5,33,Normal
P022,9,13,39,123,Normal
P023,3,4,8,64,Normal
P023,7,9,54,222,Normal
P023,8,8,8,36,Demora
P024,4,3,6,62,Exceso
P024,5,4,16,128,Normal
P024,9,11,33,117,Exceso
P025,1,7,14,70,Exceso
P025,3,10,50,190,Normal
P025,9,14,84,252,Normal
P026,1,9,45,185,Normal
P026,7,7,35,175,Demora
P026,8,4,8,64,Demora
P027,1,11,33,117,Normal
P027,3,6,18,102,Exceso
P027,9,11,55,195,Exceso
P028,1,6,24,136,Normal
P028,4,6,6,34,Normal
P028,6,9,36,148,Normal
P029,5,14,84,252,Normal
P029,7,4,12,96,Normal
P029,8,8,16,72,Normal
P030,1,12,60,200,Demora
P030,6,8,16,72,Normal
P030,7,10,50,190,Normal
P031,1,5,5,33,Demora
P031,2,6,24,136,Demora
P031,5,6,30,170,Normal
P032,1,13,65,205,Exceso
P032,4,10,50,190,Normal
P032,9,10,40,152,Demora
P033,6,6,36,204,Normal
P033,7,4,20,160,Sin demanda
P033,9,3,12,124,Normal
P034,4,14,56,168,Normal
P034,5,12,72,240,Normal
P034,6,3,9,93,Demora
P035,5,8,24,108,Normal
P035,6,14,56,168,Exceso
P035,8,14,42,126,Normal
P036,3,7,28,140,Demora
P036,6,5,30,198,Normal
P036,7,6,30,170,Normal
P037,1,7,21,105,Normal
P037,4,10,50,190,Demora
P037,6,7,7,35,Normal
P038,4,4,8,64,Demora
P038,6,10,10,38,Exceso
P038,9,11,33,117,Exceso
P039,2,13,78,246,Demora
P039,5,6,18,102,Normal
P039,6,4,8,64,Normal
P040,1,6,18,102,Normal
P040,2,12,24,80,Normal
P040,9,7,28,140,Normal
P041,1,9,9,37,Normal
P041,2,3,6,62,Normal
P041,3,5,20,132,Normal
P042,1,11,44,156,Exceso
P042,4,11,66,234,Sin demanda
P042,8,11,44,156,Sin demanda
P043,5,10,30,114,Exceso
P043,6,12,48,160,Demora
P043,8,6,18,102,Normal
P044,2,4,16,128,Normal
P044,5,7,28,140,Normal
P044,7,13,26,82,Normal
P045,1,12,12,40,Normal
P045,2,10,20,76,Normal
P045,9,14,56,168,Normal
P046,5,13,26,82,Demora
P046,7,8,16,72,Demora
P046,9,5,15,99,Normal
P047,2,5,20,132,Normal
P047,5,3,12,124,Demora
P047,9,14,28,84,Exceso
P048,1,9,27,111,Normal
P048,6,10,50,190,Normal
P048,9,14,56,168,Normal
P049,7,8,32,144,Normal
P049,8,4,12,96,Exceso
P049,9,7,7,35,Demora
P050,2,6,24,136,Normal
P050,4,7,21,105,Normal
P050,9,8,40,180,Demora
P051,6,7,14,70,Normal
P051,8,12,60,200,Normal
P051,9,10,40,152,Normal
P052,1,3,18,186,Normal
P052,2,13,78,246,Exceso
P052,8,13,78,246,Normal
P053,2,8,8,36,Normal
P053,5,7,28,140,Normal
P053,6,13,78,246,Exceso
P054,3,11,55,195,Normal
P054,5,7,28,140,Normal
P054,7,3,18,186,Normal
P055,4,12,24,80,Normal
P055,6,3,12,124,Demora
P055,7,10,60,228,Normal
P056,1,12,12,40,Normal
P056,4,11,44,156,Normal
P056,9,11,55,195,Normal
P057,1,8,24,108,Normal
P057,2,5,15,99,Normal
P057,4,3,15,155,Normal
P058,3,12,12,40,Normal
P058,5,11,11,39,Normal
P058,9,6,36,204,Normal
P059,4,8,16,72,Normal
P059,6,5,15,99,Exceso
P059,9,4,12,96,Normal
P060,4,3,18,186,Normal
P060,5,9,36,148,Normal
P060,7,7,35,175,Normal
P061,2,6,30,170,Normal
P061,4,13,13,41,Normal
P061,9,8,32,144,Normal
P062,6,5,10,66,Normal
P062,7,10,40,152,Normal
P062,9,11,44,156,Sin demanda
P063,2,3,18,186,Normal
P063,3,14,42,126,Normal
P063,8,14,70,210,Normal
P064,1,9,18,74,Normal
P064,3,9,36,148,Normal
P064,5,9,27,111,Normal
P065,1,3,12,124,Normal
P065,2,12,12,40,Normal
P065,5,12,60,200,Normal
P066,1,5,5,33,Exceso
P066,3,7,28,140,Normal
P066,7,11,55,195,Normal
P067,3,11,44,156,Normal
P067,6,7,7,35,Demora
P067,8,9,27,111,Exceso
P068,6,11,44,156,Normal
P068,8,11,22,78,Normal
P068,9,12,60,200,Exceso
P069,1,7,7,35,Normal
P069,3,13,26,82,Normal
P069,8,12,60,200,Normal
P070,1,3,6,62,Exceso
P070,4,8,8,36,Demora
P070,8,13,52,164,Sin demanda
P071,1,8,40,180,Normal
P071,2,12,60,200,Normal
P071,6,8,24,108,Normal
P072,2,11,11,39,Normal
P072,5,13,39,123,Normal
P072,8,14,84,252,Normal
P073,4,3,9,93,Normal
P073,5,12,48,160,Normal
P073,6,9,9,37,Demora
P074,6,13,78,246,Demora
P074,7,3,18,186,Demora
P074,8,4,12,96,Normal
P075,2,6,18,102,Exceso
P075,5,14,28,84,Normal
P075,6,11,22,78,Normal
P076,4,14,28,84,Normal
P076,5,6,24,136,Sin demanda
P076,8,5,30,198,Demora
P077,6,7,21,105,Exceso
P077,7,3,12,124,Demora
P077,8,11,44,156,Normal
P078,4,6,24,136,Normal
P078,5,3,9,93,Demora
P078,9,12,36,120,Normal
P079,1,14,42,126,Exceso
P079,2,3,15,155,Exceso
P079,4,14,84,252,Normal
P080,2,11,33,117,Normal
P080,5,11,55,195,Demora
P080,9,3,9,93,Normal
P081,1,13,65,205,Normal
P081,3,8,24,108,Normal
P081,6,9,9,37,Demora
P082,1,8,48,216,Normal
P082,3,9,18,74,Normal
P082,8,11,44,156,Normal
P083,6,8,8,36,Normal
P083,7,13,65,205,Exceso
P083,9,12,48,160,Normal
P084,1,5,5,33,Exceso
P084,2,10,20,76,Demora
P084,9,9,45,185,Normal
P085,1,12,72,240,Demora
P085,4,3,15,155,Normal
P085,8,6,18,102,Normal
P086,4,12,60,200,Normal
P086,7,11,66,234,Normal
P086,9,3,6,62,Normal
P087,2,9,54,222,Normal
P087,6,12,36,120,Normal
P087,9,6,36,204,Normal
P088,3,9,18,74,Exceso
P088,6,13,78,246,Normal
P088,8,11,44,156,Normal
P089,6,13,52,164,Demora
P089,8,14,56,168,Normal
P089,9,7,7,35,Exceso
P090,1,3,3,31,Normal
P090,5,8,8,36,Normal
P090,8,6,24,136,Normal
P091,1,9,54,222,Normal
P091,2,13,39,123,Normal
P091,6,9,18,74,Normal
P092,1,11,66,234,Demora
P092,4,11,66,234,Normal
P092,6,8,8,36,Normal
P093,4,3,15,155,Normal
P093,5,7,35,175,Demora
P093,9,9,45,185,Normal
P094,4,11,33,117,Normal
P094,5,7,21,105,Normal
P094,8,14,14,42,Exceso
P095,5,9,18,74,Demora
P095,6,12,24,80,Normal
P095,8,14,42,126,Demora
P096,1,3,18,186,Normal
P096,6,7,21,105,Normal
P096,7,10,60,228,Normal
P097,1,8,16,72,Demora
P097,6,6,24,136,Normal
P097,7,14,42,126,Normal
P098,1,7,21,105,Demora
P098,4,9,36,148,Normal
P098,7,13,52,164,Sin demanda
P099,3,12,48,160,Sin demanda
P099,5,3,3,31,Normal
P099,8,13,26,82,Normal
P100,2,6,24,136,Normal
P100,3,3,3,31,Demora
P100,6,11,22,78,Demora
P101,2,14,84,252,Normal
P101,3,8,40,180,Normal
P101,7,10,20,76,Exceso
P102,4,6,24,136,Demora
P102,5,12,24,80,Exceso
P102,8,8,40,180,Normal
P103,3,8,8,36,Demora
P103,7,8,48,216,Normal
P103,8,8,40,180,Normal
P104,4,7,35,175,Normal
P104,6,5,30,198,Normal
P104,8,10,20,76,Normal
P105,2,7,42,210,Demora
P105,4,12,48,160,Exceso
P105,9,8,48,216,Normal
P106,2,5,5,33,Normal
P106,3,5,25,165,Exceso
P106,9,3,12,124,Normal
P107,5,3,6,62,Normal
P107,6,12,72,240,Normal
P107,7,4,20,160,Demora
P108,3,5,20,132,Normal
P108,4,12,24,80,Normal
P108,7,12,72,240,Demora
P109,5,6,24,136,Exceso
P109,6,13,39,123,Exceso
P109,8,7,35,175,Normal
P110,4,10,30,114,Exceso
P110,5,5,30,198,Demora
P110,7,7,14,70,Normal
P111,2,5,5,33,Exceso
